mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
0.85226946176174,0.870404933359414,gini,10,5,5
0.8520454836678868,0.8704049333594142,gini,10,5,10
0.8518961881521843,0.8696169708077356,gini,10,5,15
0.8518215055740335,0.8687460620052274,gini,10,5,20
0.8527919891026391,0.8665231766127912,gini,10,10,5
0.852829302535475,0.8665273237533379,gini,10,10,10
0.8527173065244884,0.8665148819877082,gini,10,10,15
0.852456042854039,0.8665314705498947,gini,10,10,20
0.8486490977364021,0.862521145566532,gini,10,15,5
0.8487610798192687,0.8625252927070786,gini,10,15,10
0.8487237524583131,0.862521145566532,gini,10,15,15
0.8487984071802244,0.8625128512854389,gini,10,15,20
0.8479028151515658,0.860762750235007,gini,10,20,5
0.8479401425125215,0.860762750235007,gini,10,20,10
0.8479774698734769,0.8607586030944603,gini,10,20,15
0.847790833068699,0.8607586030944603,gini,10,20,20
0.853799981057757,0.9018114946228483,gini,15,5,5
0.8537253541920855,0.9018654093418977,gini,15,5,10
0.8532028268511864,0.8986637912126907,gini,15,5,15
0.8523069284038932,0.8945705256543297,gini,15,5,20
0.8549193283303527,0.8871387815128674,gini,15,10,5
0.8554046118790147,0.8871387813408728,gini,15,10,10
0.855068693486654,0.8871512229345072,gini,15,10,15
0.8553299014446246,0.8871512229345072,gini,15,10,20
0.851336542372126,0.8779818098765293,gini,15,15,5
0.8513738697330815,0.8779776627359828,gini,15,15,10
0.8512245602892593,0.8779983984387159,gini,15,15,15
0.851299173226811,0.8779818098765293,gini,15,15,20
0.8469324012635591,0.8715495484501459,gini,15,20,5
0.8471936649340085,0.8715536955906924,gini,15,20,10
0.8468577465416478,0.871524664574897,gini,15,20,15
0.8469696868401554,0.8714956345910709,gini,15,20,20
0.850776409107876,0.9161897511223078,gini,20,5,5
0.8494326658978345,0.9162187821381034,gini,20,5,10
0.8514110021003605,0.9104832373996343,gini,20,5,15
0.8493953803212382,0.9043163811005861,gini,20,5,20
0.8536131214030631,0.8934963971613303,gini,20,10,5
0.853986395012619,0.8935793404882469,gini,20,10,10
